address	vendor
000CDE	ABB STOTZ-KONTAKT GmbH
00032C	ABB Switzerland
001293	ABB Switzerland
803B2A	ABB Xiamen Low Voltage Equipment
0012E9	Abbey Systems
0013DD	Abbott Diagnostics
C0A26D	Abbott Point of Care
5C2ED2	ABC(XiSheng) Electronics
001D7C	ABE Elettronica S.p.A
20635F	Abeeway
000076	ABEKAS VIDEO SYSTEM
00305E	Abelko Innovation
000610	Abeona Networks
001543	Aberdeen Test Center
08B4CF	Abicom International
14E289	Abietec
F436E1	Abilis Systems SARL
20ED74	Ability enterprise
A40130	ABIsystems Co.
00508D	ABIT COMPUTER Corporation
00C0EF	ABIT Corporation
002270	ABK North America, LLC
00501B	ABL CANADA
B08BBE	ABL GmbH
00260E	Ablaze Systems, LLC
08001D	ABLE COMMUNICATIONS
844F03	Ablelink Electronics
00E0F0	ABLER TECHNOLOGY
000F7E	Ablerex Electronics Co.
60CDA9	Abloomy
00120E	AboCom
ECF00E	AboCom
00E098	AboCom
50A715	Aboundi
00C0F8	ABOUT COMPUTING
000D08	AboveCable
1407E0	Abrantix AG
1CC586	Absolute Acoustics
24BBC1	Absolute Analysis
000584	AbsoluteValue Systems
8C11CB	ABUS Security-Center GmbH & Co. KG
000C89	AC Electric Vehicles
000C61	AC Tech Corporation DBA Advanced Digital
0030BA	AC&T SYSTEM CO.
001A55	ACA-Digital Corporation
7CB25C	Acacia Communications
00A095	ACACIA NETWORKS
001164	ACARD Technology Corp
001396	Acbel Polytech
000C70	ACC GmbH
0015AD	Accedian Networks
0024FD	Accedian Networks
001F81	Accel Semiconductor Corp
08006B	ACCEL TECHNOLOGIES
00502D	ACCEL
000434	Accelent Systems
002704	Accelerated Concepts
3023BA	Accelerated Memory Production
001026	ACCELERATED NETWORKS
0006F3	AcceLight Networks
6C2E33	Accelink Technologies
080078	ACCELL Corporation
0006BF	Accella Technologies Co.
34074F	AccelStor
001766	Accense Technology
DC1EA3	Accensus LLC
008032	ACCESS CO.
000807	Access Devices Limited
000313	Access Media SPA
000E20	ACCESS Systems Americas
DC0682	Accessia Technology
001033	ACCESSLAN COMMUNICATIONS
