address	vendor
88D2BF	German Autolabs
802AFA	Germaneers GmbH
28A192	GERP Solution
000778	GERSTEL GmbH & Co. KG
C836A3	GERTEC BRASIL LTDA
7857B0	GERTEC BRASIL LTDA
00123D	GES Co
00A032	GES SINGAPORE PTE.
8C7086	Gesellschaft für Sonder-EDV-Anlagen mbH
00C0E5	GESPAC, S.A
A4E597	Gessler GmbH
0060A9	GESYTEC MBH
08F6F8	GET Engineering
DCDA4F	GETCK TECHNOLOGY
E4751E	Getinge Sterilization AB
F05F5A	Getriebebau NORD GmbH and Co. KG
00162F	Geutebrück GmbH
0060A4	GEW Technologies (PTY)
CC34D7	GEWISS S.P.A
000250	Geyser Networks
3C1915	GFI Chrono Time
002384	GGH Engineering s.r.l
908D1D	GH Technologies
803B9A	ghe-ces electronic ag
90A2DA	GHEO SA
002103	GHI Electronics, LLC
B4A9FE	GHIA Technology (Shenzhen)
D8A6FD	Ghost Autonomy
24F0FF	GHT Co.
0005DE	Gi Fone Korea
00096E	GIANT ELECTRONICS
D8FC38	Giantec Semiconductor
0004BC	Giantec
002460	Giaval Science Development Co.
20318D	Giax GmbH
001F75	GiBahn Media
00075B	Gibson Guitars
0050B1	GIDDINGS & LEWIS
0090D3	GIESECKE & DEVRIENT GmbH
406231	GIFA
009047	GIGA FAST E.
0007FB	Giga Stream UMTS Technologies GmbH
8C4AEE	GIGA TMS
001485	Giga-Byte
0013F3	Giga-byte Communications
000D61	Giga-Byte Technology Co.
0020ED	GIGA-BYTE TECHNOLOGY CO.
74D435	GIGA-BYTE TECHNOLOGY
408D5C	GIGA-BYTE TECHNOLOGY
902B34	GIGA-BYTE TECHNOLOGY
94DE80	GIGA-BYTE TECHNOLOGY
000FEA	GIGA-BYTE TECHNOLOGY
74563C	GIGA-BYTE TECHNOLOGY
001A4D	GIGA-BYTE TECHNOLOGY
001FD0	GIGA-BYTE TECHNOLOGY
18C04D	GIGA-BYTE TECHNOLOGY
0016E6	GIGA-BYTE TECHNOLOGY
D85ED3	GIGA-BYTE TECHNOLOGY
50E549	GIGA-BYTE TECHNOLOGY
B42E99	GIGA-BYTE TECHNOLOGY
001D7D	GIGA-BYTE TECHNOLOGY
1C6F65	GIGA-BYTE TECHNOLOGY
00241D	GIGA-BYTE TECHNOLOGY
1C1B0D	GIGA-BYTE TECHNOLOGY
10FFE0	GIGA-BYTE TECHNOLOGY
6CF049	GIGA-BYTE TECHNOLOGY
FCAA14	GIGA-BYTE TECHNOLOGY
E0D55E	GIGA-BYTE TECHNOLOGY
0016DD	Gigabeam Corporation
000898	Gigabit Optics Corporation
000FA1	Gigabit Systems
000377	Gigabit Wireless
001EF0	Gigafin Networks
50CEE3	Gigafirm
00607E	GIGALABS
0001BE	Gigalink Co.
001939	Gigamips
001DAC	Gigamon Systems LLC
0008FC	Gigaphoton
002104	Gigaset Communications GmbH
7C2F80	Gigaset Communications GmbH
589EC6	Gigaset Communications GmbH
14B370	Gigaset Digital Technology (Shenzhen) Co.
C034B4	Gigastone Corporation
002596	GIGAVISION srl
540496	Gigawave
000F8C	Gigawavetech Pte
001F84	Gigle Semiconductor
787F62	GiK mbH
001EDB	Giken Trastem Co.
000150	GILAT COMMUNICATIONS
00A0AC	GILAT SATELLITE NETWORKS
00210E	Gilbarco
005083	GILBARCO
78AF58	GIMASI SA
A4D856	Gimbal
000E26	Gincom Technology Corp
0007B9	Ginganet Corporation
74D654	GINT
002496	Ginzinger electronic systems
DCDE4F	Gionee Communication Equipment Co
B898F7	Gionee Communication Equipment Co,ShenZhen
B8B42E	Gionee Communication Equipment Co,ShenZhen
045604	Gionee Communication Equipment
48A380	Gionee Communication Equipment
3478D7	Gionee Communication Equipment
0080DE	GIPSI S.A
EC83D5	GIRD Systems
ECBAFE	GIROPTIC
ECAF97	GIT
60DE35	GITSN
001285	Gizmondo Europe
48A6D2	GJsun Optical Science and Tech
004030	GK COMPUTER
00140C	GKB CCTV CO.
0020B2	GKD Gesellschaft Fur Kommunikation Und Datentechnik
6083B2	GkWare e.K
0021C2	GL Communications
9483C4	GL Technologies (Hong Kong) Limited
D0C901	GLA ELECTRONICS PVT
8C12C2	GLBB Japan
7C8306	Glen Dimplex Nordic as
0060B4	GLENAYRE R&D
00D092	GLENAYRE WESTERN MULTIPLEX
002203	Glensound Electronics
000C1F	Glimmerglass Networks
303D08	GLINTT TES S.A
A4D3B5	GLITEL Stropkov, s.r.o
FC1349	Global Apps Corp
000C1E	Global Cache
003098	Global Converging Technologies
0006EB	Global Data
5CEE79	Global Digitech Co
0021D0	Global Display Solutions Spa
4013D9	Global ES
8896B6	Global Fire Equipment S.A
00186A	Global Link Digital Technology Co
00E085	GLOBAL MAINTECH
64E8E6	global moisture management system
0050F3	GLOBAL NET INFORMATION CO.
98C0EB	Global Regency
002337	Global Star Solutions ULC
00032F	Global Sun Technology
001508	Global Target Enterprise
00172B	Global Technologies
0024DE	GLOBAL Technology
CC69B0	Global Traffic Technologies, LLC
002014	GLOBAL VIEW CO.
002088	GLOBAL VILLAGE COMMUNICATION
000288	GLOBAL VILLAGE COMMUNICATION
EC6264	Global411 Internet Services, LLC
2829D9	GlobalBeiMing technology (Beijing)Co.
00C003	GLOBALNET COMMUNICATIONS
005098	GLOBALOOP
0CF0B4	Globalsat International Technology
000DB5	GLOBALSAT TECHNOLOGY Corporation
F0AD4E	Globalscale Technologies
0470BC	Globalstar
000431	GlobalStreams
001CD9	GlobalTop Technology
000983	GlobalTop Technology
009012	GLOBESPAN SEMICONDUCTOR
00028F	Globetek
00148B	Globo Electronic GmbH & Co. KG
08F728	GLOBO Multimedia Sp. z o.o. Sp.k
0023F3	Glocom
9C6650	Glodio Technolies Co.,Ltd Tianjin Branch
0004E5	Glonet Systems
40FF40	GloquadTech
48B5A7	Glory Horse Industries
407FE0	Glory Star Technics (ShenZhen) Limited
00A058	GLORY
000FFD	Glorytek Network
002311	Gloscom Co.
58343B	Glovast Technology
6C3A36	Glowforge
F8912A	GLP German Light Products GmbH
000C3D	Glsystech Co.
0011DC	Glunz & Jensen
0007FF	Gluon Networks
000949	Glyph Technologies
000812	GM-2 Corporation
0030E9	GMA COMMUNICATION MANUFACT'G
00193D	GMC Guardian Mobility Corp
C0F991	GME Standard Communications P/L
1879A2	GMJ ELECTRIC LIMITED
0025F9	GMK electronic design GmbH
0080DD	GMX INC/GIMIX
B0EC8F	GMX SAS
6CFBED	GN Audio A/S
305075	GN Audio A/S
70BF92	GN Audio A/S
50C275	GN Audio A/S
50C2ED	GN Audio A/S
08C8C2	GN Audio A/S
745C4B	GN Audio A/S
CC896C	GN Hearing A/S
A8A913	GN Hearing A/S
001D82	GN Netcom A/S
001317	GN Netcom A/S
501AA5	GN Netcom A/S
001A45	GN Netcom A/S
1C48F9	GN Netcom A/S
00168F	GN Netcom A/S
002378	GN Netcom A/S
50C971	GN Netcom A/S
0007A4	GN Netcom
7CA15D	GN ReSound A/S
000FF5	GN&S company
B09BD4	GNH Software India Private Limited
84C727	Gnodal
001034	GNP Computers
E880D8	GNTEK Electronics
001406	Go Networks
4432C2	GOAL Co.
0CD923	GOCLOUD Networks(GAOKE Networks)
8C76C1	Goden Tech Limited
001D9A	GODEX INTERNATIONAL CO.
40336C	Godrej & Boyce Mfg. co.
B0C387	GOEFER
000681	Goepel Electronic GmbH
0816D5	GOERTEK
F03EBF	GOGORO TAIWAN LIMITED
B8B7DB	GOIP Global Services Pvt.
A8E207	GOIP Global Services Pvt.
989DB2	GOIP Global Services Pvt.
F897B0	Goki Pty
7070FC	GOLD&WATER INDUSTRIAL LIMITED
10A24E	GOLD3LINK ELECTRONICS CO.
F44D17	GOLDCARD HIGH-TECH
00079C	Golden Electronics Technology Co.
009085	GOLDEN ENTERPRISES
0026F8	Golden Highway Industry Development Co.
002362	Goldline Controls
0040BB	GOLDSTAR CABLE CO.
0040A0	GOLDSTAR CO.
00405A	GOLDSTAR INFORMATION & COMM
002190	Goliath Solutions
B8871E	Good Mind Industries Co.
F83376	Good Mind Innovation Co.
0050B6	GOOD WAY IND. CO.
002224	Good Will Instrument Co.
001141	GoodMan Corporation
001FAC	Goodmill Systems
D46CBF	Goodrich ISR
001136	Goodrich Sensor Systems
F0C1CE	GoodWe Technologies CO.
60706C	Google
C82ADD	Google
242934	Google
08B4B1	Google
60B76E	Google
B0E4D5	Google
F072EA	Google
D4F547	Google
58CB52	Google
7CD95C	Google
3C8D20	Google
883D24	Google
98D293	Google
94EB2C	Google
3C5AB4	Google
F4F5E8	Google
34C7E9	Google
FC4116	Google
546749	Google
944560	Google
5C337B	Google
B87BD4	Google
24952F	Google
90CAFA	Google
14223B	Google
E45E1B	Google
582429	Google
88541F	Google
900CC8	Google
20DFB9	Google
44070B	Google
30FD38	Google
E4F042	Google
9495A0	Google
001A11	Google
FC915D	Google
C01C6A	Google
9898FB	Google
E8D52B	Google
D43A2C	Google
24E50F	Google
9C4F5F	Google
747446	Google
201F3B	Google
D8EB46	Google
D88C79	Google
44BB3B	Google
14C14E	Google
F05C77	Google
1CF29A	Google
240588	Google
388B59	Google
703ACB	Google
F4F5D8	Google
B423A2	Google
84A824	Google
04006E	Google
BCDF58	Google
0CC413	Google
1C53F9	Google
CCA7C1	Google
28BD89	Google
3C286D	Google
B02A43	Google
089E08	Google
F88FCA	Google
B8DB38	Google
088BC8	Google
B41324	Google
3C3174	Google
AC3EB1	Google
3886F7	Google
DCE55B	Google
B06A41	Google
F81A2B	Google
AC6784	Google
CCF411	Google
F80FF9	Google
F0EF86	Google
00F620	Google
7C2EBD	Google
48D6D5	Google
D86C63	Google
F40304	Google
546009	Google
A47733	Google
20F094	Google
B8B2EB	Googol Technology (HK) Limited
6472D8	GooWi Technology Co.,Limited
38D518	GooWi Wireless Technology Co., Limited
B484D5	GooWi Wireless Technology Co., Limited
142C78	GooWi Wireless Technology Co., Limited
68D6ED	GooWi Wireless Technology Co., Limited
C4ADF1	GOPEACE
84AF1F	GopherTec
000FEC	GopherTec
045747	GoPro
2474F7	GoPro
D43260	GoPro
F4DD9E	GoPro
D4D919	GoPro
D89685	GoPro
044169	GoPro
AC04AA	GoPro
00230E	Gorba AG
005CB1	Gospell DIGITAL TECHNOLOGY CO.
0012D0	Gossen-Metrawatt-GmbH
E046E5	Gosuncn Technology Group Co.
045C8E	gosund GROUP
205532	Gotech International Technology Limited
000110	Gotham Networks
001888	GOTIVE a.s
08005D	GOULD
0002E6	Gould Instrument Systems
00226E	Gowell Electronic Limited
C8A9FC	Goyoo Networks
841715	GP Electronics (HK)
94D417	GPI KOREA
A0A23C	GPMS
3861A5	Grabango Co
006024	GRADIENT TECHNOLOGIES
50934F	Gradual Tecnologia Ltda
0024B3	Graf-Syteco GmbH & Co. KG
002714	Grainmustards, Co
000593	Grammar Engine
001F04	Granch
000CFE	Grand Electronic Co.
98FB12	Grand Electronics (HK)
00C01D	GRAND JUNCTION NETWORKS
A05AA4	Grand Products Nevada
341B22	Grandbeing Technology Co.
40516C	Grandex International Corporation
001135	Grandeye
48DC9D	Grandprint(Beijing) Technology Co.
EC74D7	Grandstream Networks
C074AD	Grandstream Networks
000B82	Grandstream Networks
0013FE	GRANDTEC ELECTRONIC CORP
00D0FC	GRANITE MICROSYSTEMS
E893F3	Graphiant
ACC595	Graphite Systems
0080DB	GRAPHON Corporation
000376	Graphtec Technology
04197F	Grasphere Japan
00D08E	Grass Valley, A Belden Brand
00501E	Grass Valley, A Belden Brand
00B009	Grass Valley, A Belden Brand
E8E08F	GRAVOTECH MARKING SAS
001025	Grayhill
00307D	GRE AMERICA
901EDD	GREAT COMPUTER Corporation
000247	Great Dragon Information Technology (Group) Co.
BC3F4E	Great Talent Technology Limited
C4CBBE	Great Talent Technology Limited
98348C	Great Talent Technology Limited
001896	Great Well Electronic
F87FA5	GREATEK
502CC6	GREE ELECTRIC APPLIANCES,  OF ZHUHAI
0447CA	GREE ELECTRIC APPLIANCES,  OF ZHUHAI
580D0D	GREE ELECTRIC APPLIANCES,  OF ZHUHAI
7CB8E6	GREE ELECTRIC APPLIANCES,  OF ZHUHAI
C03937	GREE ELECTRIC APPLIANCES,  OF ZHUHAI
9424B8	GREE ELECTRIC APPLIANCES,  OF ZHUHAI
08BE77	Green Electronics
78071C	Green Energy Options
BC6E76	Green Energy Options
00125C	Green Hills Software
F82055	Green Information System
7864E6	Green Motive Technology Limited
001FFB	Green Packet Bhd
84E323	Green Wave Telecommunication SDN BHD
000F2B	GREENBELL SYSTEMS
E08177	GreenBytes
506441	Greenlee
AC976C	Greenliant
001E98	GreenLine Communications
000A5A	GreenNET Technologies
2479EF	Greenpacket Berhad, Taiwan
00155F	GreenPeak Technologies
DCAD9E	GreenPriz
E8B722	GreenTrol Automation
8486F3	Greenvity Communications
44C9A2	Greenwald Industries
D4A928	GreenWave Reality
00E0E8	GRETACODER Data Systems AG
D8977C	Grey Innovation
001781	Greystone Data System
8401A7	Greyware Automation Products
001D4B	Grid Connect
001DED	Grid Net
0000E1	GRID SYSTEMS
284846	GridCentric
10F3DB	Gridco Systems
002373	GridIron Systems
E492E7	Gridlink Tech.
001980	Gridpoint Systems
0024B7	GridPoint
084027	Gridstore
5CCCA0	Gridwiz
001292	Griffin Technology
00165B	Grip Audio
0010D3	GRIPS ELECTRONIC GMBH
3843E5	Grotech
00C04A	GROUP 2000 AG
0015BD	Group 4 Technology
000762	Group Sense Limited
4CF19E	Groupe Atlantic
44A466	GROUPE LDLC
3CD1C9	Groupe SEB
000DCD	GROUPE TXCOM
B06BB3	GRT
001444	Grundfos Holding
00D0D5	GRUNDIG AG
4C8B55	Grupo Digicon
00214E	GS Yuasa Power Supply
001170	GSC SRL
888964	GSI Electronics
001750	GSI Group, MicroE Systems
00267B	GSI Helmholtzzentrum für Schwerionenforschung GmbH
D8D67E	GSK CNC EQUIPMENT
00A07F	GSM-SYNTEL
0019AC	GSP SYSTEMS
0022B7	GSS Grundig SAT-Systems GmbH
F0A764	GST Co.
001437	GSTeletech
00250E	gt german telematics gmbh
001A1C	GT&T Engineering Pte
000634	GTE Airfone
004065	GTE SPACENET
0020EE	GTECH Corporation
000C5C	GTN Systems B.V
48C663	GTO Access Systems LLC
001FA1	Gtran
001E19	GTRI
ECE9F8	Guang Zhou TRI-SUN Electronics Technology Co.
00231F	Guangda Electronic & Telecommunication Technology Development Co.
7891DE	Guangdong ACIGA Science&Technology
142BD6	Guangdong Appscomm
8485E6	Guangdong Asano Technology
D826B9	Guangdong Coagent Electronics S&amp;T
A43523	Guangdong Donyan Network Technologies
308999	Guangdong East Power
746BAB	GUANGDONG ENOK COMMUNICATION CO.
149FB6	GUANGDONG GENIUS TECHNOLOGY CO.
74D873	GUANGDONG GENIUS TECHNOLOGY CO.
7CFD82	GUANGDONG GENIUS TECHNOLOGY CO.
782E03	GUANGDONG GENIUS TECHNOLOGY CO.
B86392	GUANGDONG GENIUS TECHNOLOGY CO.
ECA9FA	GUANGDONG GENIUS TECHNOLOGY CO.
14C050	GUANGDONG GENIUS TECHNOLOGY CO.
8845F0	GUANGDONG GENIUS TECHNOLOGY CO.
04D442	GUANGDONG GENIUS TECHNOLOGY CO.
D860B3	Guangdong Global Electronic Technology CO.，
0026C5	Guangdong Gosun Telecommunications
CCA374	Guangdong Guanglian Electronic Technology
549A4C	GUANGDONG HOMECARE TECHNOLOGY
7C0CF6	Guangdong Huiwei High-tech Co.
F87999	Guangdong Jiuzhi Technology
A486DB	Guangdong Juan Intelligent Technology Joint Stock Co.
6425EC	guangdong kesheng zhixun technology
4C64D9	Guangdong Leawin Group Co.
08468B	Guangdong NanGuang Photo & Video Systems Co.
94720F	Guangdong Nanguang Photo&Video Systems Co.
B8BB23	Guangdong Nufront CSC Co.
E44097	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
DCB4CA	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
D4BAFA	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
9497AE	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
0CBD75	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
74D558	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
BC64D9	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
BCE8FA	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
149BF3	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
2CFC8B	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
24753A	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
50874D	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
B4205B	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
4C50F1	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
E40CFD	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
58D697	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
145E69	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
2406AA	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
E433AE	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
B0B5C3	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
F06728	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
B8C9B5	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
C4E39F	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
2479F3	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
D81EDD	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
C02E25	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
58C6F0	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
2CA9F0	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
B4CB57	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
18D717	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
E4C483	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
084ACF	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
D4503F	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
38295A	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
E44790	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
C8F230	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
8C0EE3	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
A09347	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
E8BBA8	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
B0AA36	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
F8C4FA	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
50056E	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
48C461	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
748669	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
40B607	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
B457E6	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
ACC4BD	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
30E7BC	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
9C7403	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
E4936A	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
4877BD	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
B04692	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
AC764C	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
B0C952	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
408C1F	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
8803E9	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
FCA5D0	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
F4D620	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
44AEAB	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
A4F05E	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
846FCE	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
5029F5	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
1CC3EB	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
7836CC	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
EC51BC	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
F079E8	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
3CF591	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
602101	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
ECF342	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
4C1A3D	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
CC2D83	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
DC6DCD	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
BC3AEA	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
A43D78	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
00CAE0	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
AC45CA	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
74E147	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
4C92D2	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
6885A4	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
A8C56F	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
AC7A94	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
386F6B	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
34479A	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
C0EDE5	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
6007C4	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
546706	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
A0941A	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
540E58	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
0C938F	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
9454CE	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
388ABE	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
60D4E9	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
20826A	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
6CD71F	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
885A06	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
2C5D34	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
D467D3	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
A41232	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
9C0CDF	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
14C697	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
7C6B9C	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
4466FC	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
503CEA	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
F06D78	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
1CDDEA	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
88D50C	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
1C48CE	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
6C5C14	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
1C77F6	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
786CAB	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
08DD03	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
E4E26C	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
1071FA	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
9CFB77	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
68FCB6	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
307F10	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
A40F98	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
AC7352	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
A89892	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
4CEAAE	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
FC041C	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
8C3401	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
C440F6	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
1C0219	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
14472D	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
9CF531	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
18D0C5	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
5C666C	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
C4E1A1	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
70DDA8	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
4C6F9C	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
4883B4	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
D41A3F	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
986F60	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
C09F05	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
440444	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
5464BC	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
306DF9	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
D020DD	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
483543	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
F8C4AE	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
5843AB	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
88684B	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
5C1648	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
4829D6	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
301ABA	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
DCA956	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
74EF4B	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
304F00	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
2064CB	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
C4FE5B	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
B4A5AC	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
9C5F5A	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
A4C939	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
